"country","customer_base","total_sales"
"India",60,6034.78
"China",53,5251.03
"United States",36,3685.31
"Japan",31,3122.51
"Mexico",30,2984.82
"Brazil",28,2919.19
"Russian Federation",28,2765.62
"Philippines",20,2219.70
"Turkey",15,1498.49
"Indonesia",14,1352.69
"Nigeria",13,1314.92
"Argentina",13,1298.80
"South Africa",11,1069.46
"Taiwan",10,1155.10
"United Kingdom",9,850.96
"Iran",8,877.96
"Poland",8,786.16
"Italy",7,753.26
"Germany",7,741.24
"Venezuela",7,632.43
"Egypt",6,659.48
"Ukraine",6,675.53
"Vietnam",6,676.45
"Colombia",6,661.54
"Spain",5,513.80
"Canada",5,559.70
"Saudi Arabia",5,452.94
"Netherlands",5,557.73
"Pakistan",5,473.84
"South Korea",5,527.77
"Peru",4,407.01
"France",4,334.12
"Yemen",4,473.93
"Israel",4,379.13
"Algeria",3,349.18
"Switzerland",3,248.41
"Tanzania",3,322.22
"United Arab Emirates",3,305.25
"Morocco",3,274.35
"Bangladesh",3,353.19
"Chile",3,303.34
"Thailand",3,401.08
"Malaysia",3,330.23
"Austria",3,284.30
"Paraguay",3,273.40
"Mozambique",3,315.25
"Ecuador",3,369.18
"Dominican Republic",3,304.26
"Sudan",2,202.51
"Bolivia",2,178.56
"Greece",2,204.54
"Belarus",2,271.36
"Bulgaria",2,194.52
"Yugoslavia",2,233.49
"Cambodia",2,179.51
"Cameroon",2,186.49
"Romania",2,218.42
"Puerto Rico",2,224.48
"Kazakstan",2,192.51
"Kenya",2,245.49
"Angola",2,187.55
"Latvia",2,249.43
"Azerbaijan",2,198.53
"Congo, The Democratic Republic of the",2,168.58
"Oman",2,161.56
"Myanmar",2,179.53
"French Polynesia",2,205.52
"Zambia",1,121.70
"American Samoa",1,47.85
"Anguilla",1,99.68
"Armenia",1,118.75
"Bahrain",1,108.76
"Brunei",1,107.66
"Chad",1,122.72
"Czech Republic",1,132.72
"Estonia",1,105.72
"Ethiopia",1,91.77
"Faroe Islands",1,96.76
"Finland",1,78.79
"French Guiana",1,97.80
"Gambia",1,114.73
"Greenland",1,119.72
"Holy See (Vatican City State)",1,146.68
"Hong Kong",1,104.76
"Hungary",1,111.71
"Iraq",1,111.73
"Kuwait",1,106.75
"Liechtenstein",1,99.74
"Lithuania",1,63.78
"Madagascar",1,92.79
"Malawi",1,121.73
"Moldova",1,127.66
"Nauru",1,143.70
"Nepal",1,93.83
"New Zealand",1,85.77
"North Korea",1,107.71
"Runion",1,211.55
"Saint Vincent and the Grenadines",1,64.82
"Senegal",1,95.76
"Slovakia",1,80.77
"Sri Lanka",1,103.73
"Sweden",1,139.67
"Tonga",1,64.84
"Tunisia",1,73.78
"Turkmenistan",1,126.74
"Tuvalu",1,93.78
"Virgin Islands, U.S.",1,121.69
"Afghanistan",1,67.82
