"customer_id","no_of_days_rented","case"
459,"3 days 20:46:00","NO ACTION"
408,"7 days 23:09:00","NO ACTION"
333,"9 days 02:39:00","REMINDER EMAIL TO CUSTOMER"
222,"8 days 05:28:00","REMINDER EMAIL TO CUSTOMER"
549,"2 days 02:24:00","NO ACTION"
269,"4 days 21:23:00","NO ACTION"
239,"3 days 00:02:00","NO ACTION"
126,"3 days 00:22:00","NO ACTION"
399,"6 days 22:42:00","NO ACTION"
142,"8 days 20:47:00","REMINDER EMAIL TO CUSTOMER"
261,"5 days 05:25:00","NO ACTION"
334,"5 days 04:06:00","NO ACTION"
446,"1 day 02:25:00","NO ACTION"
319,"9 days 02:51:00","REMINDER EMAIL TO CUSTOMER"
316,"1 day 03:59:00","NO ACTION"
575,"1 day 23:37:00","NO ACTION"
19,"6 days 05:25:00","NO ACTION"
456,"6 days 04:43:00","NO ACTION"
185,"2 days 00:32:00","NO ACTION"
388,"23:02:00","NO ACTION"
509,"1 day 02:33:00","NO ACTION"
438,"4 days 03:54:00","NO ACTION"
350,"1 day 22:22:00","NO ACTION"
37,"2 days 18:04:00","NO ACTION"
371,"5 days 20:58:00","NO ACTION"
301,"4 days 21:32:00","NO ACTION"
232,"1 day 05:44:00","NO ACTION"
44,"4 days 20:44:00","NO ACTION"
430,"4 days 23:11:00","NO ACTION"
369,"5 days 03:10:00","NO ACTION"
230,"19:49:00","NO ACTION"
272,"1 day 23:40:00","NO ACTION"
597,"3 days 19:51:00","NO ACTION"
484,"2 days 02:38:00","NO ACTION"
88,"3 days 19:55:00","NO ACTION"
535,"3 days 20:19:00","NO ACTION"
302,"6 days 20:11:00","NO ACTION"
207,"5 days 22:23:00","NO ACTION"
413,"2 days 18:03:00","NO ACTION"
174,"7 days 19:16:00","NO ACTION"
523,"5 days 21:23:00","NO ACTION"
532,"1 day 01:15:00","NO ACTION"
207,"4 days 05:03:00","NO ACTION"
436,"8 days 03:57:00","REMINDER EMAIL TO CUSTOMER"
7,"8 days 02:14:00","REMINDER EMAIL TO CUSTOMER"
35,"4 days 20:59:00","NO ACTION"
282,"7 days 23:22:00","NO ACTION"
498,"5 days 03:33:00","NO ACTION"
18,"3 days 04:44:00","NO ACTION"
256,"23:53:00","NO ACTION"
507,"5 days 18:36:00","NO ACTION"
569,"1 day 22:00:00","NO ACTION"
291,"6 days 21:42:00","NO ACTION"
131,"5 days 02:31:00","NO ACTION"
511,"1 day 05:53:00","NO ACTION"
6,"3 days 21:59:00","NO ACTION"
323,"3 days 05:47:00","NO ACTION"
408,"7 days 00:56:00","NO ACTION"
470,"5 days 05:16:00","NO ACTION"
250,"7 days 22:21:00","NO ACTION"
419,"5 days 01:37:00","NO ACTION"
383,"1 day 19:05:00","NO ACTION"
368,"9 days 02:10:00","REMINDER EMAIL TO CUSTOMER"
346,"4 days 04:49:00","NO ACTION"
86,"3 days 18:41:00","NO ACTION"
119,"2 days 04:05:00","NO ACTION"
120,"6 days 00:33:00","NO ACTION"
305,"2 days 03:52:00","NO ACTION"
73,"1 day 19:41:00","NO ACTION"
100,"2 days 18:33:00","NO ACTION"
48,"2 days 19:00:00","NO ACTION"
391,"7 days 02:56:00","NO ACTION"
265,"1 day 01:14:00","NO ACTION"
510,"9 days 01:45:00","REMINDER EMAIL TO CUSTOMER"
1,"9 days 00:30:00","REMINDER EMAIL TO CUSTOMER"
451,"1 day 05:22:00","NO ACTION"
135,"6 days 01:13:00","NO ACTION"
245,"8 days 22:43:00","REMINDER EMAIL TO CUSTOMER"
314,"6 days 05:34:00","NO ACTION"
286,"8 days 01:53:00","REMINDER EMAIL TO CUSTOMER"
427,"6 days 22:31:00","NO ACTION"
131,"2 days 03:10:00","NO ACTION"
492,"4 days 05:57:00","NO ACTION"
414,"4 days 03:48:00","NO ACTION"
266,"5 days 01:17:00","NO ACTION"
331,"3 days 21:20:00","NO ACTION"
53,"3 days 19:19:00","NO ACTION"
499,"4 days 00:05:00","NO ACTION"
25,"6 days 19:36:00","NO ACTION"
267,"7 days 03:35:00","NO ACTION"
302,"5 days 22:02:00","NO ACTION"
288,"9 days 04:24:00","REMINDER EMAIL TO CUSTOMER"
197,"4 days 22:20:00","NO ACTION"
400,"8 days 02:43:00","REMINDER EMAIL TO CUSTOMER"
49,"4 days 18:15:00","NO ACTION"
263,"2 days 19:39:00","NO ACTION"
269,"1 day 18:41:00","NO ACTION"
44,"3 days 02:02:00","NO ACTION"
208,"8 days 05:21:00","REMINDER EMAIL TO CUSTOMER"
468,"6 days 02:30:00","NO ACTION"
343,"6 days 02:25:00","NO ACTION"
384,"9 days 05:06:00","REMINDER EMAIL TO CUSTOMER"
310,"1 day 21:34:00","NO ACTION"
108,"4 days 18:09:00","NO ACTION"
196,"9 days 05:43:00","REMINDER EMAIL TO CUSTOMER"
317,"9 days 04:18:00","REMINDER EMAIL TO CUSTOMER"
242,"5 days 01:10:00","NO ACTION"
503,"4 days 01:59:00","NO ACTION"
19,"8 days 23:30:00","REMINDER EMAIL TO CUSTOMER"
227,"2 days 22:33:00","NO ACTION"
500,"8 days 01:47:00","REMINDER EMAIL TO CUSTOMER"
93,"2 days 03:09:00","NO ACTION"
506,"7 days 03:58:00","NO ACTION"
455,"4 days 01:04:00","NO ACTION"
18,"20:56:00","NO ACTION"
7,"6 days 04:29:00","NO ACTION"
524,"5 days 19:29:00","NO ACTION"
51,"4 days 04:14:00","NO ACTION"
365,"7 days 03:52:00","NO ACTION"
405,"4 days 01:50:00","NO ACTION"
273,"7 days 23:21:00","NO ACTION"
43,"23:15:00","NO ACTION"
246,"4 days 04:01:00","NO ACTION"
368,"8 days 00:51:00","REMINDER EMAIL TO CUSTOMER"
439,"2 days 21:44:00","NO ACTION"
94,"8 days 00:28:00","REMINDER EMAIL TO CUSTOMER"
40,"4 days 02:15:00","NO ACTION"
23,"9 days 04:05:00","REMINDER EMAIL TO CUSTOMER"
56,"5 days 01:20:00","NO ACTION"
325,"5 days 01:43:00","NO ACTION"
479,"5 days 23:16:00","NO ACTION"
237,"4 days 02:38:00","NO ACTION"
222,"7 days 20:40:00","NO ACTION"
304,"8 days 19:52:00","REMINDER EMAIL TO CUSTOMER"
504,"5 days 20:04:00","NO ACTION"
560,"6 days 04:05:00","NO ACTION"
586,"3 days 21:33:00","NO ACTION"
257,"3 days 18:12:00","NO ACTION"
354,"1 day 01:36:00","NO ACTION"
89,"7 days 02:23:00","NO ACTION"
472,"3 days 01:03:00","NO ACTION"
297,"1 day 21:56:00","NO ACTION"
357,"6 days 21:52:00","NO ACTION"
82,"5 days 02:57:00","NO ACTION"
433,"9 days 00:13:00","REMINDER EMAIL TO CUSTOMER"
274,"3 days 23:04:00","NO ACTION"
142,"6 days 19:04:00","NO ACTION"
319,"7 days 21:02:00","NO ACTION"
429,"6 days 01:42:00","NO ACTION"
14,"4 days 05:51:00","NO ACTION"
57,"8 days 05:24:00","REMINDER EMAIL TO CUSTOMER"
348,"1 day 20:41:00","NO ACTION"
185,"3 days 22:23:00","NO ACTION"
551,"5 days 22:48:00","NO ACTION"
462,"1 day 22:24:00","NO ACTION"
344,"19:52:00","NO ACTION"
354,"7 days 23:03:00","NO ACTION"
505,"3 days 02:26:00","NO ACTION"
290,"6 days 03:59:00","NO ACTION"
182,"1 day 03:51:00","NO ACTION"
296,"1 day 01:36:00","NO ACTION"
104,"9 days 04:10:00","REMINDER EMAIL TO CUSTOMER"
151,"1 day 22:06:00","NO ACTION"
33,"7 days 00:53:00","NO ACTION"
322,"4 days 22:39:00","NO ACTION"
401,"1 day 00:17:00","NO ACTION"
469,"6 days 23:02:00","NO ACTION"
381,"22:28:00","NO ACTION"
107,"7 days 00:42:00","NO ACTION"
400,"7 days 21:10:00","NO ACTION"
176,"3 days 00:54:00","NO ACTION"
533,"1 day 21:55:00","NO ACTION"
552,"2 days 03:29:00","NO ACTION"
47,"8 days 02:15:00","REMINDER EMAIL TO CUSTOMER"
250,"5 days 22:49:00","NO ACTION"
548,"6 days 04:02:00","NO ACTION"
196,"9 days 02:48:00","REMINDER EMAIL TO CUSTOMER"
19,"8 days 05:40:00","REMINDER EMAIL TO CUSTOMER"
75,"6 days 05:12:00","NO ACTION"
587,"3 days 01:47:00","NO ACTION"
237,"6 days 00:54:00","NO ACTION"
254,"6 days 04:03:00","NO ACTION"
556,"2 days 04:41:00","NO ACTION"
125,"7 days 04:18:00","NO ACTION"
468,"8 days 01:47:00","REMINDER EMAIL TO CUSTOMER"
515,"8 days 18:56:00","REMINDER EMAIL TO CUSTOMER"
243,"18:01:00","NO ACTION"
247,"1 day 00:10:00","NO ACTION"
533,"6 days 03:33:00","NO ACTION"
412,"1 day 23:19:00","NO ACTION"
437,"7 days 04:37:00","NO ACTION"
270,"3 days 23:40:00","NO ACTION"
29,"3 days 21:16:00","NO ACTION"
564,"4 days 19:55:00","NO ACTION"
184,"1 day 03:59:00","NO ACTION"
546,"7 days 22:05:00","NO ACTION"
54,"9 days 04:42:00","REMINDER EMAIL TO CUSTOMER"
71,"2 days 01:55:00","NO ACTION"
321,"5 days 04:55:00","NO ACTION"
444,"8 days 18:49:00","REMINDER EMAIL TO CUSTOMER"
20,"6 days 20:25:00","NO ACTION"
109,"8 days 05:25:00","REMINDER EMAIL TO CUSTOMER"
528,"4 days 00:41:00","NO ACTION"
114,"3 days 01:44:00","NO ACTION"
345,"22:25:00","NO ACTION"
47,"1 day 01:28:00","NO ACTION"
274,"19:45:00","NO ACTION"
379,"1 day 00:46:00","NO ACTION"
391,"1 day 03:58:00","NO ACTION"
170,"2 days 05:36:00","NO ACTION"
59,"4 days 04:12:00","NO ACTION"
394,"5 days 03:49:00","NO ACTION"
98,"4 days 19:18:00","NO ACTION"
197,"2 days 00:43:00","NO ACTION"
